Counter,mX[GeV],mA[GeV],ThermAvgSommerfeld,Kappa0[GeV5]
207, ,0.0177214559584408,782.0220185853046, 
208, ,0.0177705095110068,726.2004805657771, 
209, ,0.0178196988453631,676.2741511349179, 
210, ,0.0178690243373582,631.445259053261, 
211, ,0.0179184863638808,591.0461838420781, 
212, ,0.0179680853028626,554.5148430171687, 
213, ,0.0180178215332818,521.375332366907, 
214, ,0.0180676954351654,491.2225782633605, 
215, ,0.0181177073895924,463.7100808038274, 
216, ,0.0181678577786967,438.5400575134207, 
217, ,0.0182181469856697,415.4554657857794, 
218, ,0.0182685753947638,394.23350628343326, 
219, ,0.0183191433912948,374.6803016901686, 
220, ,0.0183698513616453,356.62651427256515, 
221, ,0.0184206996932671,339.9237178797266, 
222, ,0.0184716887746848,324.4413797155609, 
223, ,0.0185228189954982,310.064337657903, 
224, ,0.0185740907463857,296.69068239022323, 
225, ,0.018625504419107,284.22997186306424, 
226, ,0.0186770604065062,272.60171986631406, 
227, ,0.0187287591025149,261.73411170941625, 
228, ,0.0187806009021551,251.56290887404572, 
229, ,0.0188325862015421,242.03051155227703, 
230, ,0.0188847153978878,233.08515361490691, 
231, ,0.0189369888895036,224.68020907609298, 
232, ,0.0189894070758033,216.77359276748183, 
233, ,0.0190419703573064,209.3272408900294, 
234, ,0.019094679135641,202.3066595167853, 
235, ,0.0191475338135471,195.68053108456076, 
236, ,0.0192005347948791,189.42037052476346, 
237, ,0.0192536824846098,183.50022401077103, 
238, ,0.0193069772888324,177.8964043971799, 
239, ,0.0193604196147648,172.58725833551466, 
240, ,0.0194140098707516,167.5529608095333, 
241, ,0.0194677484662678,162.77533346489002, 
242, ,0.0195216358119221,158.23768363849885, 
243, ,0.0195756723194596,153.92466143799308, 
244, ,0.019629858401765,149.8221325968194, 
245, ,0.0196841944728661,145.91706514781336, 
246, ,0.0197386809479366,142.19742822693715, 
247, ,0.0197933182432994,138.6521015471238, 
248, ,0.01984810677643,135.2707942769198, 
249, ,0.0199030469659593,132.04397222485827, 
250, ,0.019958139231677,128.9627923726945, 
251, ,0.0200133839945348,126.01904392294713, 
252, ,0.0200687816766496,123.20509513116806, 
253, ,0.0201243327013069,120.51384528399402, 
254, ,0.0201800374929635,117.93868126232812, 
255, ,0.0202358964772515,115.4734381966474, 
256, ,0.020291910080981,113.11236378043755, 
257, ,0.0203480787321434,110.85008585864756, 
258, ,0.0204044028599151,108.68158295267573, 
259, ,0.0204608828946601,106.6021574222901, 
260, ,0.0205175192679339,104.60741099868264, 
261, ,0.0205743124124866,102.69322245277257, 
262, ,0.020631262762266,100.85572718884623, 
263, ,0.0206883707524212,99.09129857655743, 
264, ,0.0207456368193057,97.39653085454538, 
265, ,0.0208030614004809,95.7682234566484, 
266, ,0.0208606449347195,94.20336662743848, 
267, ,0.0209183878620086,92.69912820769213, 
268, ,0.0209762906235531,91.2528414826787, 
269, ,0.0210343536617794,89.86199399708855, 
270, ,0.0210925774203384,88.52421725012704, 
271, ,0.0211509623441091,87.23727719286826, 
272, ,0.0212095088792019,85.99906545769161, 
273, ,0.021268217472962,84.80759125643641, 
274, ,0.0213270885739732,83.66097389003093, 
275, ,0.0213861226320604,82.55743581785153, 
276, ,0.0214453200982942,81.49529623986784, 
277, ,0.0215046814249934,80.47296514915392, 
278, ,0.021564207065729,79.48893781614123, 
279, ,0.0216238974753275,78.54178966962517, 
280, ,0.0216837531098743,77.63017154266967, 
281, ,0.0217437744267173,76.75280525442344, 
282, ,0.0218039618844705,75.90847950145502, 
283, ,0.021864315943017,75.0960460345428, 
284, ,0.0219248370635131,74.31441609893054, 
285, ,0.0219855257083918,73.5625571180123, 
286, ,0.0220463823413657,72.839489602102, 
287, ,0.0221074074274312,72.14428426549006, 
288, ,0.0221686014328719,71.47605933644834, 
289, ,0.0222299648252619,70.83397804609965, 
290, ,0.0222914980734697,70.21724628323723, 
291, ,0.0223532016476616,69.62511040326186, 
292, ,0.0224150760193053,69.05685518035324, 
293, ,0.0224771216611736,68.51180189288473, 
294, ,0.0225393390473479,67.98930653289649, 
295, ,0.0226017286532218,67.48875813117081, 
296, ,0.0226642909555051,67.00957719012995, 
297, ,0.0227270264322268,66.55121421740058, 
298, ,0.0227899355627392,66.11314835342849, 
299, ,0.0228530188277216,65.6948860870703, 
300, ,0.0229162767091838,65.29596005354932, 
301, ,0.0229797096904696,64.91592790959929, 
302, ,0.0230433182562609,64.55437128101684, 
303, ,0.0231071028925813,64.21089477822447, 
304, ,0.0231710640867995,63.88512507577355, 
305, ,0.0232352023276334,63.576710052030734, 
306, ,0.0232995181051537,63.28531798558919, 
307, ,0.0233640119107875,63.0106368052065, 
308, ,0.0234286842373223,62.752373390318105, 
309, ,0.0234935355789096,62.510252919412146, 
310, ,0.0235585664310688,62.28401826375637, 
311, ,0.0236237772906908,62.073429424173405, 
312, ,0.0236891686560421,61.878263008738934, 
313, ,0.0237547410267681,61.69831174945759, 
314, ,0.0238204949038976,61.53338405612225, 
315, ,0.0238864307898459,61.38330360572683, 
316, ,0.0239525491884194,61.24790896592952, 
317, ,0.0240188506048186,61.127053251211755, 
318, ,0.0240853355456429,61.020603810490115, 
319, ,0.0241520045188935,60.928441945070865, 
320, ,0.0242188580339782,60.850462655937314, 
321, ,0.0242858966017145,60.786574419479365, 
322, ,0.0243531207343341,60.73669899086749, 
323, ,0.0244205309454865,60.70077123437946, 
324, ,0.0244881277502429,60.67873898007898, 
325, ,0.0245559116651003,60.67056290633771, 
326, ,0.0246238832079856,60.676216447782465, 
327, ,0.0246920428982589,60.69568572833484, 
328, ,0.0247603912567183,60.72896951909613, 
329, ,0.0248289288056032,60.77607922091362, 
330, ,0.0248976560685988,60.83703887154825, 
331, ,0.0249665735708398,60.91188517744428, 
332, ,0.0250356818389144,61.00066757018507, 
333, ,0.0251049814008685,61.103448287802124, 
334, ,0.0251744727862096,61.220302481185946, 
335, ,0.025244156525911,61.35131834593474, 
336, ,0.0253140331524156,61.49659728006018, 
337, ,0.0253841031996403,61.656254068061536, 
338, ,0.0254543672029796,61.830417091965806, 
339, ,0.0255248256993104,62.01922857003217, 
340, ,0.0255954792269953,62.222844823907245, 
341, ,0.0256663283258874,62.44143657513108, 
342, ,0.0257373735373339,62.67518927198767, 
343, ,0.0258086154041807,62.924303447817984, 
344, ,0.0258800544707761,63.188995112018006, 
345, ,0.0259516912829753,63.46949617508153, 
346, ,0.0260235263881444,63.766054909167295, 
347, ,0.0260955603351646,64.07893644581688, 
348, ,0.0261677936744365,64.40842331259613, 
349, ,0.0262402269578841,64.75481601058868, 
350, ,0.0263128607389594,65.11843363484518, 
351, ,0.026385695572646,65.49961454006221, 
352, ,0.026458732015464,65.8987170539763, 
353, ,0.026531970625474,66.31612024114746, 
354, ,0.0266054119622809,66.75222472004121, 
355, ,0.0266790565870392,67.2074535365713, 
356, ,0.0267529050624563,67.68225309749317, 
357, ,0.0268269579527972,68.17709416736102, 
358, ,0.026901215823889,68.69247293303792, 
359, ,0.0269756792431249,69.22891214008472, 
360, ,0.0270503487794687,69.78696230572176, 
361, ,0.0271252250034591,70.36720301343411, 
362, ,0.0272003084872141,70.97024429472052, 
363, ,0.0272755998044352,71.59672810394092, 
364, ,0.027351099530412,72.24732989272633, 
365, ,0.0274268082420268,72.92276029094998, 
366, ,0.0275027265177582,73.62376690184868, 
367, ,0.0275788549376865,74.35113621956737, 
368, ,0.0276551940834974,75.10569567805065, 
369, ,0.027731744538487,75.8883158410451, 
370, ,0.0278085068875656,76.69991274376831, 
371, ,0.0278854817172629,77.54145039778989, 
372, ,0.0279626696157319,78.41394347163232, 
373, ,0.0280400711727538,79.31846016077736, 
374, ,0.0281176869797423,80.25612526195582, 
375, ,0.0281955176297479,81.22812346797862, 
376, ,0.0282735637174632,82.23570290087018, 
377, ,0.0283518258392264,83.28017890266608, 
378, ,0.0284303045930266,84.36293810513536, 
379, ,0.0285090005785082,85.4854428016176, 
380, ,0.0285879143969755,86.6492356464399, 
381, ,0.0286670466513969,87.85594470980736, 
382, ,0.0287463979464102,89.10728891882674, 
383, ,0.0288259688883268,90.40508391828706, 
384, ,0.028905760085136,91.75124838822947, 
385, ,0.0289857721465106,93.14781085907805, 
386, ,0.0290660056838107,94.59691706918694, 
387, ,0.0291464613100885,96.10083791438839, 
388, ,0.0292271396400936,97.66197804424387, 
389, ,0.0293080412902768,99.28288516544023, 
390, ,0.0293891668787955,100.96626011933114, 
391, ,0.029470517025518,102.71496780774308, 
392, ,0.0295520923520288,104.53204904937692, 
393, ,0.0296338934816325,106.42073345814367, 
394, ,0.0297159210393593,108.38445344513758, 
395, ,0.0297981756519695,110.42685945736469, 
396, ,0.029880657947958,112.55183657941454, 
397, ,0.0299633685575598,114.76352263897851, 
398, ,0.0300463081127542,117.06632797362427, 
399, ,0.0301294772472699,119.46495703518326, 
400, ,0.0302128765965896,121.96443202935711, 
401, ,0.0302965067979553,124.57011881248856, 
402, ,0.0303803684903728,127.28775529497126, 
403, ,0.0304644623146167,130.12348263235629, 
404, ,0.0305487889132352,133.08387952111016, 
405, ,0.0306333489305551,136.1759999571733, 
406, ,0.0307181430126869,139.4074148626344, 
407, ,0.0308031718075294,142.78625804000708, 
408, ,0.0308884359647748,146.32127697599927, 
409, ,0.0309739361359136,150.02188908853478, 
410, ,0.03105967297424,153.89824409391687, 
411, ,0.0311456471348561,157.96129326712486, 
412, ,0.0312318592746776,162.2228664800976, 
413, ,0.0313183100524384,166.69575803246536, 
414, ,0.031405000128696,171.3938224408025, 
415, ,0.0314919301658362,176.33208152921028, 
416, ,0.0315791008280783,181.52684437142662, 
417, ,0.0316665127814803,186.99584187800158, 
418, ,0.0317541666939437,192.75837810866938, 
419, ,0.0318420632352189,198.8355007286064, 
420, ,0.0319302030769102,205.2501934278775, 
421, ,0.0320185868924808,212.02759359935735, 
422, ,0.0321072153572582,219.1952391372845, 
423, ,0.0321960891484391,226.7833488958014, 
424, ,0.0322852089450949,234.8251421588985, 
425, ,0.0323745754281764,243.357203449417, 
426, ,0.0324641892805195,252.4199001835926, 
427, ,0.0325540511868503,262.05786210481153, 
428, ,0.0326441618337899,272.3205331660263, 
429, ,0.0327345219098604,283.26280864881426, 
430, ,0.0328251321054894,294.9457729028517, 
431, ,0.0329159931130159,307.4375562853073, 
432, ,0.0330071056266951,320.8143338288593, 
433, ,0.033098470342704,335.1614930724598, 
434, ,0.0331900879591467,350.57500460908994, 
435, ,0.0332819591760597,367.1630365806127, 
436, ,0.033374084695417,385.04786402614445, 
437, ,0.033466465221136,404.3681362570689, 
438, ,0.0335591014590822,425.28158106996403, 
439, ,0.0336519941170754,447.9682446696931, 
440, ,0.0337451439048942,472.63439206818083, 
441, ,0.0338385515342823,499.5172263766299, 
442, ,0.0339322177189532,528.890629446694, 
443, ,0.0340261431745963,561.0721843828588, 
444, ,0.0341203286188817,596.4318176087464, 
445, ,0.0342147747714663,635.4025015671388, 
446, ,0.034309482353999,678.4935989073053, 
447, ,0.0344044520901261,726.3076197456338, 
448, ,0.0344996847054971,779.5614264560364, 
449, ,0.0345951809277701,839.1132866067977, 
450, ,0.0346909414866174,905.9976905161994, 
451, ,0.034786967113731,981.4705855261066, 
452, ,0.0348832585428282,1067.068741884268, 
453, ,0.0349798165096575,1164.68852226702, 
454, ,0.0350766417520036,1276.6916431903753, 
455, ,0.0351737350096938,1406.049018759847, 
456, ,0.0352710970246029,1556.5391676200536, 
457, ,0.0353687285406596,1733.0261228586987, 
458, ,0.0354666303038515,1941.8553427654147, 
459, ,0.0355648030622312,2191.4283629637066, 
460, ,0.0356632475659222,2493.0543681252993, 
461, ,0.0357619645671239,2862.2416919155994, 
462, ,0.0358609548201182,3320.708134211831, 
463, ,0.0359602190812748,3899.6036054680767, 
464, ,0.0360597581090568,4644.852374187327, 
465, ,0.0361595726640271,5626.357132657213, 
466, ,0.0362596635088536,6954.582471890909, 
467, ,0.0363600314083154,8812.046447807234, 
468, ,0.0364606771293086,11516.978194874448, 
469, ,0.0365616014408519,15662.072877356444, 
470, ,0.0366628051140929,22446.24832927628, 
471, ,0.0367642889223136,34565.155846578826, 
472, ,0.0368660536409365,58982.55323071027, 
473, ,0.0369681000475306,117398.12243374021, 
474, ,0.037070428921817,297514.92732354393, 
475, ,0.0371730410456753,361959.4701325018, 
476, ,0.0372759372031494,135037.68282984427, 
477, ,0.0373791181804532,65379.43767894041, 
478, ,0.0374825847659771,37355.14158092708, 
479, ,0.0375863377502937,23818.426181550116, 
480, ,0.037690377926164,16390.0304593398, 
481, ,0.0377947060885434,11919.61109925391, 
482, ,0.0378993230345875,9036.977368738757, 
483, ,0.0380042295636588,7076.528703614242, 
484, ,0.0381094264773322,5685.880328055682, 
485, ,0.0382149145794017,4665.238382738161, 
486, ,0.0383206946758858,3894.8387795191493, 
487, ,0.0384267675750343,3299.509127139471, 
488, ,0.0385331340873345,2830.208165301491, 
489, ,0.0386397950255167,2453.874391392272, 
490, ,0.0387467512045613,2147.581030482768, 
491, ,0.0388540034417041,1895.0347319511422, 
492, ,0.0389615525564435,1684.404901554424, 
493, ,0.0390693993705461,1506.9368517044018, 
494, ,0.0391775447080531,1356.0418702618251, 
495, ,0.0392859893952869,1226.6859237560907, 
496, ,0.0393947342608569,1114.9702070873443, 
497, ,0.0395037801356664,1017.8378013750179, 
498, ,0.0396131278529184,932.8649631111746, 
499, ,0.0397227782481224,858.1102863721349, 
500, ,0.0398327321591006,792.0041228439624, 
501, ,0.0399429904259943,733.266447510608, 
502, ,0.0400535538912703,680.8451142740436, 
503, ,0.0401644233997274,633.8689216350666, 
504, ,0.0402755997985029,591.6115677393262, 
505, ,0.0403870839370789,553.4637031685724, 
506, ,0.040498876667289,518.911069194904, 
507, ,0.0406109788433246,487.5172543004236, 
508, ,0.0407233913217415,458.9099877237821, 
509, ,0.0408361149614665,432.7701652391928, 
510, ,0.0409491506238042,408.82300251464443, 
511, ,0.0410624991724429,386.8308577635739, 
512, ,0.0411761614734619,366.58737346221704, 
513, ,0.0412901383953378,347.91266739692657, 
